t_ms,block,mass_g,flag,rpm,taps,servo_deg,dev_mg
26187,quiet_pre,-0.017,U,0.0,0,0.0,2.099999999999998
26283,quiet_pre,-0.017,U,0.0,0,0.0,2.099999999999998
26379,quiet_pre,-0.017,U,0.0,0,0.0,2.099999999999998
26475,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
26571,quiet_pre,-0.0171,U,0.0,0,0.0,1.9999999999999982
26666,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
26762,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
26858,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
26954,quiet_pre,-0.0172,U,0.0,0,0.0,1.899999999999999
27050,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
27144,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
27240,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
27335,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
27431,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
27527,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
27623,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
27719,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
27815,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
27911,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
28004,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
28100,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
28196,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
28292,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28388,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28484,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28580,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28675,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28771,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28865,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
28961,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29057,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29153,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29249,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29345,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29441,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29536,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29632,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
