M,stream,scale-idle-v1
M,poll_hz,5.0
M,duration_s,1200.0
M,baud,19200
M,bits,8
M,parity,0
M,stop,1
M,response_timeout_ms,1000
E,8,stream start
S,111527,1.0363,S
S,111710,1.0363,S
S,111906,1.0363,S
S,112092,1.0363,S
S,112390,1.0363,S
S,112571,1.0363,S
S,112769,1.0363,S
S,112952,1.0363,S
S,113148,1.0363,S
S,113336,1.0363,S
S,113527,1.0364,S
S,113727,1.0364,S
S,113909,1.0364,S
S,114106,1.0364,S
S,114292,1.0364,S
S,114578,1.0364,S
S,114770,1.0364,S
S,114970,1.0364,S
S,115153,1.0364,S
S,115349,1.0364,S
S,115534,1.0364,S
S,115728,1.0364,S
S,115928,1.0364,S
S,116109,1.0364,S
S,116307,1.0364,S
S,116491,1.0364,S
S,116778,1.0363,S
S,116970,1.0363,S
S,117170,1.0363,S
S,117351,1.0363,S
S,117549,1.0363,S
S,117735,1.0363,S
S,117928,1.0363,S
S,118128,1.0362,S
S,118308,1.0362,S
S,118507,1.0362,S
S,118691,1.0362,S
S,118886,1.0362,S
S,119170,1.0362,S
S,119370,1.0362,S
S,119552,1.0361,S
S,119749,1.0361,S
S,119933,1.0361,S
S,120128,1.0361,S
S,120328,1.0361,S
S,120508,1.0361,S
S,120707,1.0361,S
S,120890,1.0361,S
S,121177,1.0361,S
S,121370,1.0361,S
S,121570,1.0361,S
S,121750,1.0361,S
S,121949,1.0361,S
S,122134,1.0361,S
S,122328,1.0361,S
S,122528,1.0361,S
S,122707,1.0361,S
S,122907,1.0361,S
S,123090,1.0361,S
S,123378,1.0361,S
S,123570,1.0361,S
S,123770,1.0361,S
S,123951,1.0361,S
S,124149,1.0361,S
S,124334,1.0361,S
S,124528,1.0361,S
S,124715,1.0361,S
S,124907,1.0361,S
S,125107,1.0361,S
S,125289,1.0361,S
S,125576,1.0361,S
S,125770,1.0361,S
S,125970,1.0361,S
S,126149,1.0361,S
S,126349,1.0361,S
S,126533,1.0361,S
S,126728,1.0361,S
S,126928,1.0361,S
S,127107,1.0361,S
S,127307,1.0361,S
S,127489,1.0361,S
S,127777,1.0361,S
S,127970,1.0361,S
S,128170,1.0361,S
S,128350,1.0361,S
S,128554,1.0361,S
S,128733,1.0361,S
S,128928,1.0361,S
S,129114,1.0361,S
S,129307,1.0361,S
S,129507,1.0361,S
S,129690,1.0361,S
S,129975,1.0361,S
S,130170,1.0361,S
S,130370,1.0361,S
S,130550,1.0361,S
S,130749,1.0361,S
S,130931,1.0361,S
S,131128,1.0361,S
S,131315,1.0361,S
S,131507,1.0361,S
S,131707,1.0361,S
S,131888,1.0361,S
S,132175,1.0361,S
S,132370,1.0361,S
S,132557,1.0361,S
S,132749,1.0361,S
S,132949,1.0361,S
S,133132,1.0361,S
S,133328,1.0361,S
S,133513,1.0361,S
S,133707,1.0361,S
S,133907,1.0361,S
S,134089,1.0361,S
S,134374,1.0361,S
S,134570,1.0361,S
S,134757,1.0361,S
S,134949,1.0361,S
S,135149,1.0361,S
S,135330,1.0361,S
S,135528,1.0361,S
S,135714,1.0361,S
S,135907,1.0361,S
S,136107,1.0361,S
S,136287,1.0361,S
S,136574,1.0361,S
S,136770,1.0361,S
S,136956,1.0362,S
S,137149,1.0362,S
S,137349,1.0362,S
S,137531,1.0362,S
S,137728,1.0362,S
S,137912,1.0362,S
S,138107,1.0362,S
S,138307,1.0362,S
S,138487,1.0362,S
S,138773,1.0362,S
S,138970,1.0362,S
S,139156,1.0362,S
S,139349,1.0362,S
S,139549,1.0362,S
S,139729,1.0362,S
S,139928,1.0362,S
S,140113,1.0362,S
S,140307,1.0362,S
S,140494,1.0362,S
S,140686,1.0362,S
S,140973,1.0362,S
S,141170,1.0362,S
S,141355,1.0362,S
S,141549,1.0362,S
S,141749,1.0362,S
S,141930,1.0362,S
S,142128,1.0362,S
S,142311,1.0361,S
S,142507,1.0361,S
S,142695,1.0361,S
S,142886,1.0361,S
S,143172,1.0361,S
S,143370,1.0361,S
S,143555,1.0361,S
S,143749,1.0361,S
S,143937,1.0361,S
S,144128,1.0361,S
S,144328,1.0361,S
S,144512,1.0361,S
S,144707,1.0361,S
S,144893,1.0361,S
S,145191,1.0361,S
S,145372,1.0361,S
S,145570,1.0361,S
S,145754,1.0361,S
S,145949,1.0361,S
S,146149,1.0361,S
S,146329,1.0361,S
S,146528,1.0361,S
S,146710,1.0361,S
S,146907,1.0361,S
S,147094,1.0361,S
S,147391,1.0361,S
S,147571,1.0361,S
S,147770,1.0361,S
S,147954,1.0361,S
S,148149,1.0361,S
S,148349,1.0361,S
S,148528,1.0361,S
S,148728,1.0361,S
S,148911,1.0361,S
S,149107,1.0361,S
S,149292,1.0361,S
S,149486,1.0361,S
S,149771,1.0362,S
S,149970,1.0362,S
S,150155,1.0362,S
S,150349,1.0362,S
S,150536,1.0362,S
S,150729,1.0362,S
S,150928,1.0362,S
S,151109,1.0362,S
S,151307,1.0362,S
S,151493,1.0362,S
S,151791,1.0362,S
S,151970,1.0362,S
S,152170,1.0362,S
S,152353,1.0362,S
S,152549,1.0362,S
S,152737,1.0362,S
S,152928,1.0362,S
S,153128,1.0362,S
S,153310,1.0362,S
S,153507,1.0362,S
S,153693,1.0362,S
S,153978,1.0362,S
S,154170,1.0362,S
S,154370,1.0362,S
S,154554,1.0362,S
S,154749,1.0362,S
S,154935,1.0362,S
S,155128,1.0362,S
S,155328,1.0362,S
S,155510,1.0362,S
S,155707,1.0362,S
S,155892,1.0362,S
S,156191,1.0362,S
S,156371,1.0362,S
S,156570,1.0362,S
S,156752,1.0362,S
S,156949,1.0361,S
S,157136,1.0361,S
S,157328,1.0361,S
S,157528,1.0361,S
S,157709,1.0361,S
S,157907,1.0361,S
S,158092,1.0361,S
S,158378,1.0361,S
S,158570,1.0361,S
S,158770,1.0362,S
S,158953,1.0362,S
S,159149,1.0362,S
S,159334,1.0362,S
S,159528,1.0362,S
S,159728,1.0362,S
S,159909,1.0362,S
S,160107,1.0362,S
S,160290,1.0362,S
S,160578,1.0362,S
S,160770,1.0362,S
S,160970,1.0362,S
S,161151,1.0362,S
S,161349,1.0362,S
S,161534,1.0362,S
S,161728,1.0362,S
S,161916,1.0362,S
S,162108,1.0362,S
S,162307,1.0362,S
S,162491,1.0362,S
S,162776,1.0362,S
S,162970,1.0362,S
S,163170,1.0362,S
S,163351,1.0362,S
S,163549,1.0362,S
S,163733,1.0362,S
S,163928,1.0362,S
S,164128,1.0362,S
S,164308,1.0362,S
S,164507,1.0362,S
S,164689,1.0362,S
S,164977,1.0362,S
S,165170,1.0362,S
S,165370,1.0362,S
S,165550,1.0362,S
S,165749,1.0362,S
S,165933,1.0362,S
S,166128,1.0362,S
S,166315,1.0362,S
S,166507,1.0362,S
S,166707,1.0362,S
S,166890,1.0362,S
S,167175,1.0362,S
S,167371,1.0362,S
S,167571,1.0362,S
S,167751,1.0362,S
S,167950,1.0362,S
S,168132,1.0362,S
S,168329,1.0361,S
S,168515,1.0361,S
S,168708,1.0361,S
S,168908,1.0361,S
S,169088,1.0361,S
S,169376,1.0361,S
S,169571,1.0361,S
S,169757,1.0361,S
S,169950,1.0361,S
S,170150,1.0361,S
S,170332,1.0361,S
S,170529,1.0361,S
S,170714,1.0361,S
S,170908,1.0361,S
S,171108,1.0361,S
S,171289,1.0361,S
S,171574,1.0361,S
S,171771,1.0361,S
S,171958,1.0361,S
S,172155,1.0362,S
S,172350,1.0362,S
S,172531,1.0362,S
S,172729,1.0362,S
S,172914,1.0362,S
S,173108,1.0362,S
S,173308,1.0362,S
S,173487,1.0362,S
S,173775,1.0362,S
S,173971,1.0362,S
S,174158,1.0362,S
S,174350,1.0362,S
S,174550,1.0362,S
S,174731,1.0362,S
S,174929,1.0362,S
S,175113,1.0362,S
S,175308,1.0362,S
S,175508,1.0362,S
S,175688,1.0362,S
S,175975,1.0362,S
S,176171,1.0362,S
S,176357,1.0362,S
S,176550,1.0362,S
S,176750,1.0362,S
S,176930,1.0362,S
S,177129,1.0362,S
S,177313,1.0362,S
S,177508,1.0362,S
S,177708,1.0362,S
S,177992,1.0362,S
S,178174,1.0362,S
S,178371,1.0362,S
S,178557,1.0362,S
S,178750,1.0362,S
S,178950,1.0362,S
S,179130,1.0362,S
S,179329,1.0362,S
S,179514,1.0362,S
S,179708,1.0362,S
S,179895,1.0362,S
S,180192,1.0362,S
S,180374,1.0362,S
S,180571,1.0362,S
S,180756,1.0362,S
S,180950,1.0362,S
S,181150,1.0362,S
S,181329,1.0362,S
S,181529,1.0362,S
S,181712,1.0362,S
S,181908,1.0362,S
S,182095,1.0362,S
S,182392,1.0362,S
S,182573,1.0362,S
S,182771,1.0362,S
S,182956,1.0362,S
S,183150,1.0362,S
S,183338,1.0362,S
S,183529,1.0362,S
S,183729,1.0362,S
S,183913,1.0362,S
S,184108,1.0362,S
S,184294,1.0362,S
S,184592,1.0362,S
S,184773,1.0362,S
S,184971,1.0362,S
S,185155,1.0362,S
S,185350,1.0362,S
S,185550,1.0362,S
S,185730,1.0362,S
S,185929,1.0362,S
S,186111,1.0362,S
S,186308,1.0362,S
S,186495,1.0362,S
S,186792,1.0362,S
S,186972,1.0362,S
S,187171,1.0362,S
S,187355,1.0362,S
S,187550,1.0362,S
S,187736,1.0362,S
S,187929,1.0362,S
S,188129,1.0361,S
S,188312,1.0361,S
S,188508,1.0361,S
S,188693,1.0361,S
S,188992,1.0361,S
S,189172,1.0361,S
S,189371,1.0361,S
S,189554,1.0361,S
S,189750,1.0361,S
S,189937,1.0361,S
S,190129,1.0361,S
S,190329,1.0361,S
S,190510,1.0361,S
S,190708,1.0361,S
S,190893,1.0361,S
S,191179,1.0361,S
S,191371,1.0361,S
S,191571,1.0361,S
S,191754,1.0361,S
S,191950,1.0361,S
S,192135,1.0361,S
S,192329,1.0361,S
S,192529,1.0361,S
S,192710,1.0361,S
S,192908,1.0361,S
S,193092,1.0361,S
S,193384,1.0361,S
S,193571,1.0361,S
S,193771,1.0361,S
S,193953,1.0361,S
S,194150,1.0361,S
S,194336,1.0361,S
S,194529,1.0361,S
S,194729,1.0361,S
S,194909,1.0361,S
S,195108,1.0361,S
S,195292,1.0361,S
S,195578,1.0361,S
S,195771,1.0361,S
S,195971,1.0361,S
S,196153,1.0361,S
S,196350,1.0361,S
S,196534,1.0361,S
S,196729,1.0361,S
S,196929,1.0361,S
S,197109,1.0361,S
S,197308,1.0361,S
S,197491,1.0361,S
S,197778,1.0361,S
S,197971,1.0361,S
S,198171,1.0361,S
S,198352,1.0361,S
S,198550,1.0361,S
S,198735,1.0361,S
S,198929,1.0361,S
S,199129,1.0361,S
S,199308,1.0361,S
S,199508,1.0361,S
S,199691,1.0361,S
S,199979,1.0361,S
S,200171,1.0361,S
S,200371,1.0362,S
S,200552,1.0362,S
S,200750,1.0362,S
S,200933,1.0362,S
S,201129,1.0362,S
S,201329,1.0362,S
S,201508,1.0362,S
S,201708,1.0362,S
S,201890,1.0362,S
S,202178,1.0362,S
S,202371,1.0362,S
S,202571,1.0361,S
S,202750,1.0361,S
S,202950,1.0361,S
S,203134,1.0361,S
S,203329,1.0361,S
S,203529,1.0361,S
S,203708,1.0361,S
S,203908,1.0361,S
S,204090,1.0361,S
S,204378,1.0361,S
